# SilverLens 한국어 사투리 어휘 사전 (원본)
# 형식: 사투리,표준어,지역,분류
# 지역: 경상 / 전라 / 충청 / 강원 / 제주 / 전국
# 분류: 식재료 / 음식 / 신체증상 / 생활
# 규칙
#   1) 사투리 표기는 2글자 이상만 등록한다. 1글자 항목은 오탐이 심해 제외한다.
#   2) 사투리와 표준어가 같은 항목(가다=가다)은 등록하지 않는다.
#   3) 뜻이 불확실한 항목은 등록하지 않는다. 정확도가 항목 수보다 중요하다.

# ── 식재료 ──────────────────────────────────────────────
더덕뿌리,더덕,전국,식재료
고사리대,고사리,전국,식재료
취나물,참취,전국,식재료
방구지,방아잎,경상,식재료
방아풀,배초향,경상,식재료
질경이,차전초,전국,식재료

# ── 고기·수산물 ─────────────────────────────────────────
쇠고기,소고기,전국,식재료
도야지,돼지,경상,식재료
도새기,돼지,제주,식재료
되지고기,돼지고기,충청,식재료
달구,닭,경상,식재료
닥고기,닭고기,전라,식재료
닥알,달걀,전라,식재료
달갈,달걀,경상,식재료
기랄,달걀,경상,식재료
괴기,고기,전라,식재료
물괴기,생선,경상,식재료
메르치,멸치,경상,식재료
칼치,갈치,경상,식재료
고도리,어린 고등어,제주,식재료
오징에,오징어,경상,식재료
문에,문어,경상,식재료
메역,미역,제주,식재료
새비,새우,전라,식재료
조갑지,조개,전국,식재료
꼬막살,꼬막,전라,식재료
바지락살,바지락,전국,식재료
갱이,게,전라,식재료
낙제,낙지,전라,식재료
소젖,우유,전국,식재료
조포,두부,충청,식재료

# ── 음식·조리 ───────────────────────────────────────────
짐치,김치,경상,음식
지짐이,부침개,경상,음식
찌짐,부침개,경상,음식
부치미,부침개,충청,음식
지지미,부침개,전라,음식
국시,국수,경상,음식
갱국,국,경상,음식
시락국,시래기된장국,경상,음식
지갱이,된장국,제주,음식
토장국,된장국,전라,음식
정종,청주,전국,음식
탁배기,막걸리,전국,음식
꼬치안주,꼬치,전국,음식
비지밥,콩비지찌개,전라,음식
개장국,보신탕,전국,음식
호박범벅,호박죽,강원,음식
감자옹심이,감자수제비,강원,음식
멍석떡,시루떡,전라,음식
꼬장떡,고추장떡,전라,음식
빙떡,무전병,제주,음식
몸국,모자반국,제주,음식
자리물회,자리돔물회,제주,음식
콩국,콩국수 국물,전라,음식
푸데기,물김치,경상,음식
짜다리,싱거운 음식,경상,음식
간간하다,조금 짜다,전국,음식
개미지다,감칠맛이 좋다,전라,음식
맛나다,맛있다,전라,음식
맛있다이,맛있다,경상,음식
지지다,조리다,전국,음식
뽂다,볶다,경상,음식
삶기다,삶다,전국,음식
데치다,살짝 삶다,전국,음식
꼬독꼬독,꼬들꼬들,전국,음식
푸실푸실,퍼석퍼석,전국,음식
간보다,맛을 보다,전국,음식

# ── 신체·증상 ───────────────────────────────────────────
편찮다,아프다,전국,신체증상
아푸다,아프다,경상,신체증상
아프요,아파요,전라,신체증상
애리다,쓰라리다,경상,신체증상
재리다,저리다,경상,신체증상
절리다,결리다,전국,신체증상
쑤신다,쑤시다,전국,신체증상
숨가뿌다,숨이 차다,경상,신체증상
숨차요,숨이 차다,전국,신체증상
어지럽다,현기증이 나다,전국,신체증상
아찔하다,어지럽다,전국,신체증상
심없다,힘이 없다,경상,신체증상
기운없다,기력이 없다,전국,신체증상
기운차리다,기력을 회복하다,전국,신체증상
얹히다,체하다,전국,신체증상
체했다,소화가 안 되다,전국,신체증상
배앓이,복통,전국,신체증상
배탈,장염 증상,전국,신체증상
물찌똥,설사,전국,신체증상
고뿔,감기,전국,신체증상
지침,기침,경상,신체증상
개기침,잔기침,전국,신체증상
가심,가슴,경상,신체증상
배때기,배,전국,신체증상
모가지,목,전국,신체증상
무루팍,무릎,경상,신체증상
무럽,무릎,전라,신체증상
어께,어깨,전국,신체증상
이빠디,치아,경상,신체증상
이빨,치아,전국,신체증상
이몸,잇몸,전국,신체증상
눈까리,눈,전국,신체증상
귀때기,귀,전국,신체증상
대가리,머리,전국,신체증상
디딜다리,다리,전라,신체증상
살가죽,피부,전국,신체증상
부었다,부종이 생기다,전국,신체증상
피가지다,멍이 들다,전라,신체증상
어루러기,피부 반점,전국,신체증상
땀띠,땀 발진,전국,신체증상
지리다,소변을 참지 못하다,전국,신체증상
오줌,소변,전국,신체증상
소갈증,당뇨 증상,전국,신체증상
혈압약,고혈압약,전국,신체증상
당약,당뇨약,전국,신체증상
약사발,약,전국,신체증상

# ── 생활·대화 ───────────────────────────────────────────
와이라노,왜 그러니,경상,생활
뭐라카노,뭐라고 하니,경상,생활
머라카드래,뭐라고 하더라,경상,생활
뭐시당가,뭐라고,전라,생활
뭣땜시,왜,전라,생활
어짜스까,어떻게 할까,전라,생활
어케,어떻게,전국,생활
오데,어디,경상,생활
어디가노,어디 가니,경상,생활
어디가요,어디 가세요,전라,생활
시방,지금,전라,생활
인자,이제,전라,생활
인제,이제,전국,생활
아까침에,아까,경상,생활
어제밤,어젯밤,전국,생활
그저께,이틀 전,전국,생활
아침나절,아침 무렵,전국,생활
저물녘,해질 무렵,전국,생활
억수로,매우,경상,생활
겁나게,매우,전라,생활
디게,매우,경상,생활
숭악하게,심하게,전라,생활
쪼매,조금,경상,생활
째까,조금,전라,생활
쬐끔,조금,전국,생활
한나도,하나도,전라,생활
찬찬히,천천히,전국,생활
얼릉,얼른,전국,생활
묵다,먹다,경상,생활
무웠나,먹었니,경상,생활
드시소,드세요,경상,생활
드시씨요,드세요,전라,생활
자시다,드시다,전국,생활
잡숴,드세요,전국,생활
개안타,괜찮다,경상,생활
갠찮다,괜찮다,전국,생활
됐다마,됐다,경상,생활
그라제,그렇지,전라,생활
그라요,그래요,전라,생활
그렇구마,그렇군요,경상,생활
아니라예,아닙니다,경상,생활
아니어라,아닙니다,전라,생활
참말로,정말로,전라,생활
진짜로,정말로,전국,생활
엄따,없다,경상,생활
읎다,없다,충청,생활
있는교,있습니까,경상,생활
합디다,하더군요,전라,생활
하이소,하세요,경상,생활
해보소,해보세요,전국,생활
아재,아저씨,전라,생활
아지매,아주머니,경상,생활
아주매,아주머니,전라,생활
어멍,어머니,제주,생활
아방,아버지,제주,생활
하르방,할아버지,제주,생활
할망,할머니,제주,생활
오라방,오빠,제주,생활
할부지,할아버지,경상,생활
할무이,할머니,경상,생활
어무이,어머니,경상,생활
아부지,아버지,전국,생활
지집아,여자아이,경상,생활
머스마,남자아이,경상,생활
손지,손자,전국,생활
영감쟁이,남편,전국,생활
임자,당신,전국,생활
자네,당신,전국,생활
워매,어머나,전라,생활
아이고나,아이고,전국,생활
아이쿠나,아이고,전국,생활
징하다,지겹다,전라,생활
개갈안난다,시원치 않다,충청,생활
성가시다,귀찮다,전국,생활
수다떨다,이야기를 나누다,제주,생활
욜로,여기로,전라,생활
일루,여기로,충청,생활
저짝,저쪽,전라,생활
이짝,이쪽,전라,생활
요래,이렇게,경상,생활
그래가꼬,그래서,경상,생활
그랑께,그러니까,전라,생활
헝게,하니까,전라,생활
잘묵었다,잘 먹었다,경상,생활
고맙구마,고맙습니다,경상,생활
고맙습니더,고맙습니다,경상,생활
반갑구마,반갑습니다,경상,생활
###
